ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Role_Model_Type
12,17,Right-Handed,170,1,Rail (Train/Tram/Subway),20,Basketball,800,600,700,700,700,700,23,Right foot,70,76,Ring finger,June,Fall,Mathematics and statistics,6.5,10,4,Internet chat or instant messaging,6,7,14,1,24,2,10,30,3,3,45,2,Some,Graduate degree,Telepathy,Happy,Religious figure
9,15,Right-Handed,154,2,Rail (Train/Tram/Subway),30,Soccer,800,800,1000,1000,0,0,24,Same length,7,7,Same length,February,Winter,Physical education,5,5,6,Text messaging,idk,40,1,0,1,3,6,0,0,24,0,0,Some,Graduate degree,Fly,Happy,Relative
12,17,Right-Handed,170,1,Car,13,Other,950,850,800,600,200,250,20,Same length,76.2,88.9,Ring finger,March,Summer,Art,9,5,5,Internet chat or instant messaging,50,70,0,0,2,6,0,0,12,6,14,1,Some,Graduate degree,Fly,Happy,Other
12,18,Right-Handed,160.2,1,Walk,1,Hockey (Ice),1000,947,594,813,203,610,21.7,Left foot,65,62,Ring finger,February,Winter,Mathematics and statistics,6,8,2,Text messaging,50,60,12,1,6,0,8,0,8,10,8,9,Very little,Undergraduate degree,Invisibility,Happy,Musician or singer
12,18,Right-Handed,125,3,Bus,15,Soccer,1000,900,500,600,800,100,22,Right foot,7,7,Same length,August,Fall,Mathematics and statistics,6,10,5,"Myspace, Facebook, other social networking sites, or blog",5,10,5,4,3,10,1,0,30,5,40,10,Some,Undergraduate degree,Telepathy,Rich,Religious figure
12,18,Left-Handed,183,1,Bus,20,Athletics,1000,500,400,400,500,600,26,Same length,80,70,Index finger,August,Summer,Science,7,9,4,In person,25,50,10,2,5,3,3,4,1,2,2,3,A lot,Undergraduate degree,Freeze time,Happy,Relative
12,17,Right-Handed,157,2,Car,3,Lacrosse,1000,1000,1000,1000,200,200,24,Same length,25,21,Ring finger,August,Summer,Mathematics and statistics,8,10,3,Text messaging,30,25,8,5,5,3,10,2,8,2,2,2,Some,Graduate degree,Freeze time,Happy,Relative
12,17,Right-Handed,162,1,Rail (Train/Tram/Subway),90,Lacrosse,600,300,150,400,600,800,24,Left foot,95,95,Same length,July,Summer,Mathematics and statistics,6,8,3,"Myspace, Facebook, other social networking sites, or blog",40,60,10,4,4,25,2,1,90,35,70,20,A lot,Other,Freeze time,Rich,Relative
12,22,Left-Handed,162.6,1,Car,20,Running/Jogging,1000,900,900,800,500,400,20.3,Same length,7,7,Same length,November,Spring,Mathematics and statistics,7,9,5,Cell phone,40,60,10,3,10,25,5,1,3,3,3,8,Some,Graduate degree,Fly,Happy,Relative
12,17,Right-Handed,163,1,Car,10,Soccer,1000,1000,1000,500,100,200,24,Same length,95,76,Index finger,September,Fall,Art,6,8,4,"Myspace, Facebook, other social networking sites, or blog",6,25,1,0,12,1,20,0,20,3,1,5,Some,Undergraduate degree,Invisibility,Happy,Actor
